Name of the school,Addition,Subtraction,Multiplication,Division
GLPS PUTTATHIMMANAHALLI,0,0,0,0
GLPS PUTTATHIMMANAHALLI,1,1,1,0
G HPS YELEKYATHANAHALLI,1,0,0,0
G HPS BENACHANAHALLI,1,1,1,1
G HPS BENACHANAHALLI,1,1,1,1
G HPS BENACHANAHALLI,1,0,0,1
G HPS BENACHANAHALLI,1,0,0,1
G LPS BENACHANAHALLI COLONY,0,1,0,0
G HPS DASENAHALLI,1,0,1,1
G HPS DASENAHALLI,1,1,1,1
G HPS DASENAHALLI,1,1,0,1
G HPS DASENAHALLI,1,1,0,1
G HPS DASENAHALLI,1,1,1,0
G HPS DASENAHALLI,1,1,0,1
G HPS DASENAHALLI,1,0,0,0
G HPS DASENAHALLI,1,1,1,1
G HPS DASENAHALLI,0,0,0,0
G HPS DASENAHALLI,1,1,0,0
G HPS BARAGURU,1,1,0,0
G HPS BARAGURU,1,1,0,0
G HPS BARAGURU,1,0,0,0
G HPS BARAGURU,1,0,0,1
G LPS BARAGURU COLONY,1,1,1,1
G LPS HULLARAVE,1,1,0,1
G LPS HULLARAVE,1,0,0,1
G LPS HULLARAVE,1,1,1,0
G LPS HULLARAVE,1,1,0,1
G HPS KUNTA BOMMANAHALLI,1,1,0,1
G HPS KUNTA BOMMANAHALLI,1,1,1,1
G HPS KUNTA BOMMANAHALLI,1,1,0,1
G HPS KUNTA BOMMANAHALLI,1,1,1,0
G HPS MARALAKUNTE,1,1,0,0
G HPS MARALAKUNTE,1,0,1,1
G HPS MARALAKUNTE,1,1,0,0
G HPS MARALAKUNTE,1,0,0,1
G HPS MARALAKUNTE,1,1,1,1
G HPS MARALAKUNTE,1,1,1,1
G HPS MARALAKUNTE,1,1,0,1
G HPS MARALAKUNTE,1,1,1,1
G HPS MARALAKUNTE,1,1,0,0
G HPS MARALAKUNTE,0,0,0,0
G HPS SOMATHANAHALLI,1,1,1,1
G HPS SOMATHANAHALLI,1,1,0,0
G HPS SOMATHANAHALLI,1,0,0,1
G HPS SOMATHANAHALLI,1,1,0,0
G HPS SOMATHANAHALLI,1,1,0,1
G HPS SOMATHANAHALLI,1,0,0,1
G HPS SOMATHANAHALLI,1,1,0,1
G HPS SOMATHANAHALLI,1,1,0,0
G HPS GANGAVARA,1,1,0,0
G HPS GANGAVARA,1,0,0,0
G HPS GANGAVARA,1,0,0,0
G HPS GANGAVARA,1,1,0,0
G LPS NAGENAHALLI,1,1,1,1
G LPS CHOWDAPPANAHALLI,0,0,0,0
G LPS KAGGALAHALLI,1,1,1,1
G LPS KONDENAHALLI,1,1,0,1
G LPS KONDENAHALLI,0,0,0,1
G LPS KONDENAHALLI,1,1,0,0
G LPS KONDENAHALLI,0,0,0,0
G LPS KONDENAHALLI,0,0,0,0
GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,0,0,0,0
GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,0,0,0,0
GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,0,0,0,0
GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,0,0,0,0
GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,0,0,0,0
GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,1,0,0,1
GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,1,1,0,0
GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,1,0,0,0
GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,1,0,0,0
GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,1,0,0,0
GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,1,1,0,0
GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,1,0,1,1
GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,1,1,0,0
GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,1,0,1,0
GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,1,1,0,0
GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,1,1,0,0
GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,1,1,0,0
GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,1,0,0,1
GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,1,1,0,0
GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,1,1,0,0
GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,1,1,1,0
GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,1,1,0,0
GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,1,1,0,0
GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,1,1,1,1
